State,City,City_Inactive_Date,City_AddTime
CA,CANYON COUNTRY,,2018-01-01
CA,CANYON DAM,,2018-01-01
CA,CAPAY,,2018-01-01
CA,CAPISTRANO BEACH,,2018-01-01
CA,CAPITOLA,,2018-01-01
CA,CARDIFF BY THE SEA,,2018-01-01
CA,CARLOTTA,,2018-01-01
CA,CARLSBAD,,2018-01-01
CA,CARMEL,,2018-01-01
CA,CARMEL BY THE SEA,,2018-01-01
CA,CARMEL VALLEY,,2018-01-01
CA,CARMICHAEL,,2018-01-01
CA,CARNELIAN BAY,,2018-01-01
CA,CARPINTERIA,,2018-01-01
CA,CARSON,,2018-01-01
CA,CARUTHERS,,2018-01-01
CA,CASMALIA,,2018-01-01
CA,CASPAR,,2018-01-01
CA,CASSEL,,2018-01-01
CA,CASTAIC,,2018-01-01
CA,CASTELLA,,2018-01-01
CA,CASTRO VALLEY,,2018-01-01
CA,CASTROVILLE,,2018-01-01
CA,CATHEDRAL CITY,,2018-01-01
CA,CATHEYS VALLEY,,2018-01-01
CA,CAYUCOS,,2018-01-01
CA,CAZADERO,,2018-01-01
CA,CEDAR GLEN,,2018-01-01
CA,CEDAR RIDGE,,2018-01-01
CA,CEDARPINES PARK,,2018-01-01
CA,CEDARVILLE,,2018-01-01
CA,CERES,,2018-01-01
CA,CERRITOS,,2018-01-01
CA,CHALLENGE,,2018-01-01
CA,CHATSWORTH,,2018-01-01
CA,CHESTER,,2018-01-01
CA,CHICAGO PARK,,2018-01-01
CA,CHICO,,2018-01-01
CA,CHILCOOT,,2018-01-01
CA,CHINESE CAMP,,2018-01-01
CA,CHINO,,2018-01-01
CA,CHINO HILLS,,2018-01-01
CA,CHOWCHILLA,,2018-01-01
CA,CHUALAR,,2018-01-01
CA,CHULA VISTA,,2018-01-01
CA,CIMA,,2018-01-01
CA,CITRUS HEIGHTS,,2018-01-01
CA,CITY OF INDUSTRY,,2018-01-01
CA,CLAREMONT,,2018-01-01
CA,CLARKSBURG,,2018-01-01
CA,CLAYTON,,2018-01-01
CA,CLEARLAKE,,2018-01-01
CA,CLEARLAKE OAKS,,2018-01-01
CA,CLEARLAKE PARK,,2018-01-01
CA,CLEMENTS,,2018-01-01
CA,CLIO,,2018-01-01
CA,CLIPPER MILLS,,2018-01-01
CA,CLOVERDALE,,2018-01-01
CA,CLOVIS,,2018-01-01
CA,COACHELLA,,2018-01-01
CA,COALINGA,,2018-01-01
CA,COARSEGOLD,,2018-01-01
CA,COBB,,2018-01-01
CA,COLEVILLE,,2018-01-01
CA,COLFAX,,2018-01-01
CA,COLOMA,,2018-01-01
CA,COLTON,,2018-01-01
CA,COLUMBIA,,2018-01-01
CA,COLUSA,,2018-01-01
CA,COMPTCHE,,2018-01-01
CA,COMPTON,,2018-01-01
CA,CONCORD,,2018-01-01
CA,COOL,,2018-01-01
CA,COPPEROPOLIS,,2018-01-01
CA,CORCORAN,,2018-01-01
CA,CORNING,,2018-01-01
CA,CORONA,,2018-01-01
CA,CORONA DEL MAR,,2018-01-01
CA,CORONADO,,2018-01-01
CA,CORTE MADERA,,2018-01-01
CA,COSTA MESA,,2018-01-01
CA,COTATI,,2018-01-01
CA,COTTONWOOD,,2018-01-01
CA,COULTERVILLE,,2018-01-01
CA,COURTLAND,,2018-01-01
CA,COVELO,,2018-01-01
CA,COVINA,,2018-01-01
CA,COYOTE,,2018-01-01
CA,CRESCENT CITY,,2018-01-01
CA,CRESCENT MILLS,,2018-01-01
CA,CRESSEY,,2018-01-01
CA,CRESTLINE,,2018-01-01
CA,CRESTON,,2018-01-01
CA,CROCKETT,,2018-01-01
CA,CROWS LANDING,,2018-01-01
CA,CULVER CITY,,2018-01-01
CA,CUPERTINO,,2018-01-01
CA,CUTLER,,2018-01-01
CA,CUTTEN,,2018-01-01
CA,CYPRESS,,2018-01-01
CA,DAGGETT,,2018-01-01
CA,DALY CITY,,2018-01-01
CA,DANA POINT,,2018-01-01
CA,DANVILLE,,2018-01-01
CA,DARWIN,,2018-01-01
CA,DAVENPORT,,2018-01-01
CA,DAVIS,,2018-01-01
CA,DAVIS CREEK,,2018-01-01
CA,DEATH VALLEY,,2018-01-01
CA,DEER PARK,,2018-01-01
CA,DEL MAR,,2018-01-01
CA,DEL REY,,2018-01-01
CA,DELANO,,2018-01-01
CA,DELHI,,2018-01-01
CA,DENAIR,,2018-01-01
CA,DESCANSO,,2018-01-01
CA,DESERT CENTER,,2018-01-01
CA,DESERT HOT SPRINGS,,2018-01-01
CA,DIABLO,,2018-01-01
CA,DIAMOND BAR,,2018-01-01
CA,DIAMOND SPRINGS,,2018-01-01
CA,DILLON BEACH,,2018-01-01
CA,DINUBA,,2018-01-01
CA,DISCOVERY BAY,,2018-01-01
CA,DIXON,,2018-01-01
CA,DOBBINS,,2018-01-01
CA,DODGERTOWN,,2018-01-01
CA,DORRIS,,2018-01-01
CA,DOS PALOS,,2018-01-01
CA,DOS RIOS,,2018-01-01
CA,DOUGLAS CITY,,2018-01-01
CA,DOUGLAS FLAT,,2018-01-01
CA,DOWNEY,,2018-01-01
CA,DOWNIEVILLE,,2018-01-01
CA,DOYLE,,2018-01-01
CA,DRYTOWN,,2018-01-01
CA,DUARTE,,2018-01-01
CA,DUBLIN,,2018-01-01
CA,DUCOR,,2018-01-01
CA,DULZURA,,2018-01-01
CA,DUNCANS MILLS,,2018-01-01
CA,DUNLAP,,2018-01-01
CA,DUNNIGAN,,2018-01-01
CA,DUNSMUIR,,2018-01-01
CA,DURHAM,,2018-01-01
CA,DUTCH FLAT,,2018-01-01
CA,EAGLEVILLE,,2018-01-01
CA,EARLIMART,,2018-01-01
CA,EARP,,2018-01-01
CA,EAST IRVINE,,2018-01-01
CA,ECHO LAKE,,2018-01-01
CA,EDISON,,2018-01-01
CA,EDWARDS,,2018-01-01
CA,EL CAJON,,2018-01-01
CA,EL CENTRO,,2018-01-01
CA,EL CERRITO,,2018-01-01
CA,EL DORADO,,2018-01-01
CA,EL DORADO HILLS,,2018-01-01
CA,EL GRANADA,,2018-01-01
CA,EL MONTE,,2018-01-01
CA,EL NIDO,,2018-01-01
CA,EL PORTAL,,2018-01-01
CA,EL SEGUNDO,,2018-01-01
CA,EL SOBRANTE,,2018-01-01
CA,EL TORO,,2018-01-01
CA,EL VERANO,,2018-01-01
CA,ELDRIDGE,,2018-01-01
CA,ELK,,2018-01-01
CA,ELK CREEK,,2018-01-01
CA,ELK GROVE,,2018-01-01
CA,ELMIRA,,2018-01-01
CA,ELVERTA,,2018-01-01
CA,EMERYVILLE,,2018-01-01
CA,EMIGRANT GAP,,2018-01-01
CA,EMPIRE,,2018-01-01
CA,ENCINITAS,,2018-01-01
CA,ENCINO,,2018-01-01
CA,ESCALON,,2018-01-01
CA,ESCONDIDO,,2018-01-01
CA,ESPARTO,,2018-01-01
CA,ESSEX,,2018-01-01
CA,ETNA,,2018-01-01
CA,EUREKA,,2018-01-01
